id,model_corpus,metric,topic01,topic02,topic03,topic04,topic05,topic06,topic07,topic08,topic09,topic10,average
60,JenkinsciGPU_PDMM_Lemma_Palmetto.csv,ca,0.211581852,0.280473163,0.104537954,0.170201968,0.111068644,0.128089768,0.146875495,0.145610847,0.199047205,0.066825487,0.156431238
61,JenkinsciGPU_PDMM_Lemma_Palmetto.csv,cp,0.179386449,-0.027403687,0.097189688,0.209058591,0.013532897,0.116821282,0.172526153,0.148938848,-0.05580619,-0.153525525,0.070071851
62,JenkinsciGPU_PDMM_Lemma_Palmetto.csv,npmi,-0.13192371,-0.138854902,0.012621961,0.056103674,-0.013956408,-0.150993945,0.044675675,0.04483655,0.045333911,-0.056103312,-0.028826051
65,JenkinsciGPU_PDMM_Lemma_ToolkitMimno.csv,umass,-2.86581802,-2.818383402,-3.229153713,-3.262587728,-3.204542382,-3.824617285,-3.431910036,-3.052331009,-3.865487095,-2.859762052,-3.241459272
66,JenkinsciWNTM_Lemma_Palmetto.csv,ca,0.112021265,0.271028813,0.065389215,0.075829506,0.099233271,0.153020046,0.13403566,0.060986157,0.117566735,0.082005532,0.11711162
67,JenkinsciWNTM_Lemma_Palmetto.csv,cp,-0.609255385,0.021566765,-0.708822538,-0.378859332,-0.046847596,-0.013729224,0.043694306,-0.120051167,-0.291235345,-0.025873747,-0.212941326
68,JenkinsciWNTM_Lemma_Palmetto.csv,npmi,-0.063564935,-0.061159552,-0.229895967,-0.198866867,-0.04474328,-0.147911929,-0.028514181,0.002440288,-0.123134649,0.015102059,-0.088024901
71,JenkinsciWNTM_Lemma_ToolkitMimno.csv,umass,-2.820739417,-3.159635995,-2.728837946,-2.586260449,-2.457218058,-2.457733662,-2.872709368,-3.548877237,-3.024123759,-3.379881217,-2.903601711
72,AndroidBTM_Stemmed_Palmetto.csv,ca,0.131431825,0.09443531,0.010832404,0.051660725,3.99E-06,0.039180675,0.103513622,0.102023486,0.046287773,0.213879374,0.079324919
73,AndroidBTM_Stemmed_Palmetto.csv,cp,0.144845779,-0.012932107,-0.186575698,-0.430192095,-0.6,-0.255187188,0.033637972,0.13050855,-0.19846961,-0.528660658,-0.190302506
